F,R,I
6460000000,-0.217279429,0.660038591
6470000000,0.180717677,0.670506181
6480000000,0.513564732,0.478335726
6490000000,0.695937424,0.155012674
6500000000,0.692084665,-0.211784634
6510000000,0.511455912,-0.526575377
6520000000,0.192300204,-0.712747248
6530000000,-0.186684163,-0.71631408
6540000000,-0.524718177,-0.516616092
6550000000,-0.71253733,-0.15351769
6560000000,-0.668369336,0.263916094
6570000000,-0.395158076,0.587091123
6580000000,0.004432901,0.699941776
6590000000,0.386112663,0.579984395
6600000000,0.636668257,0.28989264
6610000000,0.703133532,-0.073745909
6620000000,0.583502624,-0.416934279
6630000000,0.310421794,-0.65893413
6640000000,-0.055272823,-0.735157787
6650000000,-0.421892227,-0.609869054
6660000000,-0.676456876,-0.29911211
6670000000,-0.722315127,0.111775917
6680000000,-0.531758727,0.483506905
6690000000,-0.170177194,0.685510331
6700000000,0.23351523,0.658099618
6710000000,0.549639594,0.427474047
6720000000,0.695732984,0.077217518
6730000000,0.646195723,-0.289833605
6740000000,0.422544916,-0.580808823
6750000000,0.082064358,-0.724250195
6760000000,-0.292278227,-0.676797616
6770000000,-0.59960297,-0.436575869
6780000000,-0.737749861,-0.057995491
6790000000,-0.645048473,0.345231008
6800000000,-0.342584286,0.631717817
6810000000,0.06316221,0.701602798
6820000000,0.431538176,0.544171753
6830000000,0.653112168,0.226005131
6840000000,0.679022149,-0.150202829
6850000000,0.514647002,-0.482416
6860000000,0.206747645,-0.687589583
6870000000,-0.16610651,-0.711330414
6880000000,-0.505593364,-0.53880951
6890000000,-0.712115622,-0.208038347
6900000000,-0.712963782,0.189938228
6910000000,-0.495831163,0.53180449
6920000000,-0.126745912,0.702848692
6930000000,0.273543903,0.644214375
6940000000,0.574474724,0.383283024
6950000000,0.686930423,0.012031883
6960000000,0.591975812,-0.354975442
6970000000,0.329118077,-0.61766626
6980000000,-0.027714387,-0.712337726
6990000000,-0.387515175,-0.615454687
7000000000,-0.653896454,-0.343915151
7010000000,-0.743370943,0.037689088
7020000000,-0.612244218,0.417872099
7030000000,-0.289005036,0.668846521
7040000000,0.119029402,0.700789554
7050000000,0.471938044,0.506825156
7060000000,0.660988987,0.162379917
7070000000,0.642068494,-0.219135492
7080000000,0.434495081,-0.530725677
7090000000,0.101725243,-0.693849709
7100000000,-0.26884664,-0.667039182
7110000000,-0.579550922,-0.453334468
7120000000,-0.738875453,-0.103596207
7130000000,-0.689698936,0.286678231
7140000000,-0.435573903,0.595234169
7150000000,-0.051492694,0.717410536
7160000000,0.336298395,0.612204125
7170000000,0.601715805,0.318183739
7180000000,0.668723422,-0.065019932
7190000000,0.528632916,-0.419362053
7200000000,0.230297672,-0.647855524
7210000000,-0.140495723,-0.692789741
7220000000,-0.483265504,-0.542362479
7230000000,-0.703956637,-0.234523209
7240000000,-0.734184284,0.148278257
7250000000,-0.55640512,0.495622919
7260000000,-0.217591825,0.698539791
7270000000,0.179361036,0.688209454
7280000000,0.508954671,0.466480302
7290000000,0.667411486,0.105704025
7300000000,0.610447192,-0.279603989
7310000000,0.36292944,-0.573755556
7320000000,0.003416716,-0.694871709
7330000000,-0.364375734,-0.614626871
7340000000,-0.6390513,-0.358230642
7350000000,-0.744951777,0.004114072
7360000000,-0.647540842,0.374509204
7370000000,-0.366772454,0.647622657
7380000000,0.019578338,0.725317282
7390000000,0.393936873,0.584119987
7400000000,0.632612596,0.262368433
7410000000,0.659109043,-0.134107069
7420000000,0.472241121,-0.477972867
7430000000,0.138903279,-0.668651409
7440000000,-0.238373586,-0.659783263
7450000000,-0.556275794,-0.461333664
7460000000,-0.729650981,-0.129235111
7470000000,-0.708696063,0.249081735
7480000000,-0.492444249,0.567691485
7490000000,-0.134882008,0.727399244
7500000000,0.258495184,0.671463143
7510000000,0.561433012,0.411180623
7520000000,0.675754253,0.029003222
7530000000,0.568216174,-0.351217179
7540000000,0.278554302,-0.612182039
7550000000,-0.10019157,-0.681261248
7560000000,-0.45451148,-0.545377317
7570000000,-0.686767804,-0.247155381
7580000000,-0.733979635,0.126277955
7590000000,-0.580834741,0.471950195
7600000000,-0.269386198,0.691892102
7610000000,0.114048268,0.71758648
7620000000,0.457934769,0.53595523
7630000000,0.655111609,0.197486093
7640000000,0.640398304,-0.196299723
7650000000,0.416862162,-0.520459933
7660000000,0.057166952,-0.67218658
7670000000,-0.32307857,-0.609922164
7680000000,-0.608896813,-0.361984463
7690000000,-0.723493461,-0.00706433
7700000000,-0.642267225,0.354509655
7710000000,-0.387339186,0.625382131
7720000000,-0.024035062,0.728857549
7730000000,0.346921424,0.625672706
7740000000,0.610766345,0.335015883
7750000000,0.676115709,-0.05655414
7760000000,0.517990516,-0.420202608
7770000000,0.191742118,-0.637670815
7780000000,-0.192844386,-0.647724086
7790000000,-0.518639316,-0.458580181
7800000000,-0.69861886,-0.134767938
7810000000,-0.688632288,0.23830187
